Symbol,Industry,IsBanking
HSCL,Specialty Chemicals,False
RELIANCE,Oil & Gas Refining & Marketing,False
NIACL,Insurance - Diversified,True
HDFCBANK,Banks - Regional,True
HFCL,Communication Equipment,False
KIRLOSENG,Specialty Industrial Machinery,False
GRSE,Aerospace & Defense,False
INFY,Information Technology Services,False
AMBER,"Furnishings, Fixtures & Appliances",False
BSE,Financial Data & Stock Exchanges,False
AEGISLOG,Oil & Gas Refining & Marketing,False
IFCI,Credit Services,True
SCI,Marine Shipping,False
POLICYBZR,Insurance Brokers,True
VOLTAS,"Furnishings, Fixtures & Appliances",False
DIXON,Consumer Electronics,False
NETWEB,Computer Hardware,False
COFORGE,Information Technology Services,False
ETERNAL,Internet Retail,False
CLEAN,Specialty Chemicals,False
TCS,Information Technology Services,False
RVNL,Engineering & Construction,False
DATAPATTNS,Aerospace & Defense,False
ICICIBANK,Banks - Regional,True
TMPV,Auto Manufacturers,False
MCX,Financial Data & Stock Exchanges,False
TRENT,Apparel Retail,False
CDSL,Capital Markets,False
GROWW,Capital Markets,False
TEJASNET,Communication Equipment,False
BHARTIARTL,Telecom Services,False
VAML,Aluminum,False
SUZLON,Specialty Industrial Machinery,False
CRAFTSMAN,Auto Parts,False
OLAELEC,Auto Manufacturers,False
IDEA,Telecom Services,False
ADANIPOWER,Utilities - Independent Power Producers,False
SBIN,Banks - Regional,True
TARIL,Electrical Equipment & Parts,False
BHEL,Specialty Industrial Machinery,False
VEDL,Other Industrial Metals & Mining,False
BAJFINANCE,Credit Services,True
ZEEL,Broadcasting,False
M&M,Auto Manufacturers,False
ADANIENT,Thermal Coal,False
CUMMINSIND,Specialty Industrial Machinery,False
OLECTRA,Farm & Heavy Construction Machinery,False
PGEL,Electronic Components,False
ADANIPORTS,Marine Shipping,False
LT,Engineering & Construction,False
INOXWIND,Specialty Industrial Machinery,False
ITCHOTELS,Resorts & Casinos,False
PINELABS,Software - Infrastructure,False
BAJAJ-AUTO,Auto Manufacturers,False
YESBANK,Banks - Regional,True
WAAREEENER,Solar,False
TATACAP,Credit Services,True
ABCAPITAL,Financial Conglomerates,False
LEMONTREE,Lodging,False
BEL,Aerospace & Defense,False
BDL,Aerospace & Defense,False
LICI,Insurance - Life,True
ASHOKLEY,Farm & Heavy Construction Machinery,False
TMCV,Auto Manufacturers,False
KAYNES,Electronic Components,False
GVT&D,Specialty Industrial Machinery,False
NBCC,Engineering & Construction,False
VOGL,Other Industrial Metals & Mining,False
PERSISTENT,Information Technology Services,False
EICHERMOT,Auto Manufacturers,False
MAZDOCK,Aerospace & Defense,False
VBL,Beverages - Non-Alcoholic,False
POWERINDIA,Electrical Equipment & Parts,False
HAL,Aerospace & Defense,False
OFSS,Software - Infrastructure,False
MEESHO,Internet Retail,False
SONACOMS,Auto Parts,False
SAIL,Steel,False
ATHERENERG,Auto Manufacturers,False
CGPOWER,Electrical Equipment & Parts,False
HCLTECH,Information Technology Services,False
JIOFIN,Asset Management,True
BAJAJHFL,Mortgage Finance,True
SWIGGY,Internet Retail,False
BHARATFORG,Auto Parts,False
DELHIVERY,Integrated Freight & Logistics,False
LLOYDSME,Steel,False
INDHOTEL,Lodging,False
RBLBANK,Banks - Regional,True
ZENTEC,Aerospace & Defense,False
INDIGO,Airlines,False
POWERGRID,Utilities - Regulated Electric,False
POLYCAB,Electrical Equipment & Parts,False
WIPRO,Information Technology Services,False
SCHAEFFLER,Auto Parts,False
HINDALCO,Aluminum,False
ENGINERSIN,Engineering & Construction,False
TATACOMM,Telecom Services,False
BLUESTARCO,Building Products & Equipment,False
ITC,Tobacco,False
ONGC,Oil & Gas Integrated,False
TECHM,Information Technology Services,False
RRKABEL,Electrical Equipment & Parts,False
TATASTEEL,Steel,False
HINDPETRO,Oil & Gas Refining & Marketing,False
AXISBANK,Banks - Regional,True
FORCEMOT,Auto Manufacturers,False
COCHINSHIP,Aerospace & Defense,False
ADANIGREEN,Utilities - Renewable,False
IDBI,Banks - Regional,True
NYKAA,Internet Retail,False
BPCL,Oil & Gas Refining & Marketing,False
TATAPOWER,Utilities - Independent Power Producers,False
SAGILITY,Health Information Services,False
REDINGTON,Information Technology Services,False
NATIONALUM,Aluminum,False
INDUSINDBK,Banks - Regional,True
JKTYRE,Auto Parts,False
APARINDS,Electrical Equipment & Parts,False
RECLTD,Credit Services,True
LGEINDIA,Consumer Electronics,False
CPPLUS,Building Products & Equipment,False
